"extension_nm","force_f","retraction_nm","force_r"
4759.796414,171.29865536,4761.496956,151.01061936
4759.918752,171.29865536,4761.621124,140.86660036
4760.041103,171.29865536,4761.745305,153.03942236
4760.163467,169.26985136,4761.869501,148.98181536
4760.285845,169.26985136,4761.99371,151.01061936
4760.408237,167.24104836,4762.117933,155.06822636
4760.530642,163.18344036,4762.24217,155.06822636
4760.653061,157.09703036,4762.366421,161.15463736
4760.775493,157.09703036,4762.490686,161.15463736
4760.897939,157.09703036,4762.614965,165.21224436
4761.020398,159.12583336,4762.739257,175.35626236
4761.142871,157.09703036,4762.863564,173.32745936
4761.265358,159.12583336,4762.987884,175.35626236
4761.387858,163.18344036,4763.112219,181.44267336
4761.510371,167.24104836,4763.236567,183.47147736
4761.632898,171.29865536,4763.360929,189.55788836
4761.755439,173.32745936,4763.485305,189.55788836
4761.877993,179.41387036,4763.609695,189.55788836
4762.000561,179.41387036,4763.734098,193.61549536
4762.123142,185.50028036,4763.858516,191.58669136
4762.245737,187.52908436,4763.982948,191.58669136
4762.368346,189.55788836,4764.107393,193.61549536
4762.490968,189.55788836,4764.231853,191.58669136
4762.613603,183.47147736,4764.356326,195.64429936
4762.736253,187.52908436,4764.480813,195.64429936
4762.858915,187.52908436,4764.605314,195.64429936
4762.981592,181.44267336,4764.729829,195.64429936
4763.104282,179.41387036,4764.854358,197.67310236
4763.226985,175.35626236,4764.9789,193.61549536
4763.349702,171.29865536,4765.103457,197.67310236
4763.472433,173.32745936,4765.228027,199.70190636
4763.595177,169.26985136,4765.352612,197.67310236
4763.717935,167.24104836,4765.47721,193.61549536
4763.840706,171.29865536,4765.601822,195.64429936
4763.963491,173.32745936,4765.726448,193.61549536
4764.08629,175.35626236,4765.851088,197.67310236
4764.209102,179.41387036,4765.975742,197.67310236
4764.331927,181.44267336,4766.10041,197.67310236
4764.454767,185.50028036,4766.225091,203.75951336
4764.57762,187.52908436,4766.349787,207.81712036
4764.700486,193.61549536,4766.474496,211.87472836
4764.823366,195.64429936,4766.599219,217.96113836
4764.94626,197.67310236,4766.723956,224.04754936
4765.069167,197.67310236,4766.848707,234.19156736
4765.192088,199.70190636,4766.973472,230.13396036
4765.315022,199.70190636,4767.098251,236.22037136
4765.437971,197.67310236,4767.223044,246.36438936
4765.560932,195.64429936,4767.34785,244.33558536
4765.683908,195.64429936,4767.472671,248.39319336
4765.806896,187.52908436,4767.597505,252.45080036
4765.929899,185.50028036,4767.722353,250.42199636
4766.052915,183.47147736,4767.847215,254.47960436
4766.175945,183.47147736,4767.972091,258.53721136
4766.298988,179.41387036,4768.096981,254.47960436
4766.422045,181.44267336,4768.221885,258.53721136
4766.545116,185.50028036,4768.346802,260.56601436
4766.6682,185.50028036,4768.471734,262.59481836
4766.791298,189.55788836,4768.596679,264.62362236
4766.914409,195.64429936,4768.721638,264.62362236
4767.037534,199.70190636,4768.846611,270.71003236
4767.160673,205.78831736,4768.971598,264.62362236
4767.283825,205.78831736,4769.096599,266.65242536
4767.406991,213.90353136,4769.221614,268.68122936
4767.530171,215.93233536,4769.346643,270.71003236
4767.653364,217.96113836,4769.471685,278.825247360001
4767.776571,217.96113836,4769.596741,278.825247360001
4767.899791,219.98994236,4769.721812,284.91165836
4768.023025,213.90353136,4769.846896,284.91165836
4768.146273,213.90353136,4769.971994,286.94046136
4768.269534,213.90353136,4770.097106,295.05567636
4768.392809,215.93233536,4770.222231,299.11328336
4768.516098,213.90353136,4770.347371,303.17089036
4768.6394,213.90353136,4770.472524,305.19969436
4768.762716,215.93233536,4770.597692,305.19969436
4768.886046,222.01874636,4770.722873,305.19969436
4769.009389,219.98994236,4770.848068,301.14208636
4769.132746,222.01874636,4770.973277,305.19969436
4769.256116,226.07635336,4771.0985,303.17089036
4769.3795,228.10515736,4771.223737,301.14208636
4769.502898,226.07635336,4771.348987,303.17089036
4769.62631,234.19156736,4771.474252,305.19969436
4769.749735,230.13396036,4771.59953,307.22849736
4769.873174,228.10515736,4771.724822,305.19969436
4769.996626,238.24917536,4771.850128,307.22849736
4770.120092,236.22037136,4771.975448,309.25730136
4770.243572,238.24917536,4772.100782,317.37251536
4770.367065,238.24917536,4772.22613,319.40131936
4770.490572,238.24917536,4772.351491,323.45892636
4770.614093,238.24917536,4772.476867,321.43012236
4770.737627,236.22037136,4772.602256,325.48773036
4770.861176,236.22037136,4772.727659,327.51653336
4770.984737,244.33558536,4772.853076,329.54533736
4771.108313,240.27797836,4772.978507,329.54533736
4771.231902,240.27797836,4773.103952,331.57414036
4771.355505,240.27797836,4773.22941,329.54533736
4771.479121,240.27797836,4773.354883,333.60294436
4771.602751,240.27797836,4773.480369,337.66055136
4771.726395,244.33558536,4773.605869,339.68935536
4771.850052,242.30678236,4773.731383,343.74696236
4771.973724,246.36438936,4773.856911,341.71815836
4772.097408,248.39319336,4773.982453,353.89098036
4772.221107,250.42199636,4774.108009,351.86217636
4772.344819,250.42199636,4774.233578,362.00619436
4772.468545,256.50840736,4774.359162,366.06380136
4772.592285,258.53721136,4774.484759,359.97739136
4772.716038,258.53721136,4774.61037,359.97739136
4772.839805,262.59481836,4774.735995,359.97739136
4772.963586,258.53721136,4774.861634,351.86217636
4773.08738,262.59481836,4774.987287,347.80456936
